"","SS","Pos10wrtsRNAStart","DistTerm","Distance","sameStrand","DownDistance","sameDownStrand","Class"
"s11959371",0.912330190780195,0.737951807228916,0.387,1,1,0,1,1
"s1268546",-9.6,-24,481,0,1,0,1,1
"s12685461",0.893029470714869,0.734939759036145,0.481,1,1,0,1,1
"s1403676",-40.5,-68,1000,0,1,0,1,1
"s14036761",0.663647836092347,0.701807228915663,1,1,1,0,1,1
"s1407387",-13.1,-93,1000,0,0,0,0,1
"s14073871",0.867047732165392,0.682981927710843,1,1,0,0,0,1
"s1489467",-3.7,0,1000,0,0,0,0,1
"s14894671",0.936827258555415,0.753012048192771,1,1,0,0,0,1
"s238462",-6.6,47,1000,0,0,0,0,1
"s2384621",0.915299532328706,0.788403614457831,1,1,0,0,0,1
"s2523728",-13.2,-49,1000,0,0,0,0,1
"s25237281",0.866305396778264,0.716114457831325,1,1,0,0,0,1
"s457952",-13,21,1000,0,0,0,0,1
"s4579521",0.86779006755252,0.768825301204819,1,1,0,0,0,1
"s852175",-7.8,17,1000,0,1,0,1,1
"s8521751",0.906391507683171,0.765813253012048,1,1,1,0,1,1
"s887200",-6.2,-8,1000,0,1,0,1,1
"s8872001",0.918268873877218,0.746987951807229,1,1,1,0,1,1
"V_cholerae_RAND_131",-16,-6,-1,-81,0,22,1,0
"V_cholerae_RAND_1311",0.845520005938683,0.748493975903614,-0.001,0.985691573926868,0,0.00259311645450259,1,0
"V_cholerae_RAND_190",-41.6,-25,-1,-303,0,1151,1,0
"V_cholerae_RAND_1901",0.65548214683394,0.734186746987952,-0.001,0.946475887652358,0,0.135667138142386,1,0
"V_cholerae_RAND_298",-21.6,-7,-1,-228,0,27,0,0
"V_cholerae_RAND_2981",0.803949224259521,0.747740963855422,-0.001,0.959724430312666,0,0.00318246110325318,0,0
"V_cholerae_RAND_359",-18.1,70,0,-76,1,35,0,0
"V_cholerae_RAND_3591",0.829930962808997,0.805722891566265,0,0.986574810104222,1,0.00412541254125413,0,0
"X_nematophila_RAND_607",-31.9,-19,1000,-80,1,259,1,0
"X_nematophila_RAND_6071",0.727488679385346,0.738704819277108,1,0.985868221162339,1,0.0305280528052805,1,0
