"SS"	"Pos10wrtsRNAStart"	"DistTerm"	"Distance"	"sameStrand"	"DownDistance"	"sameDownStrand"
"S_enterica_LT2_RAND_283"	-169.4	230	1000	0	1	0	1
"S_enterica_LT2_RAND_284"	-24.5	-99	1000	0	1	0	1
"S_enterica_LT2_RAND_289"	-18.1	39	580	0	0	0	0
"S_enterica_LT2_RAND_326"	-37.5	105	0	0	1	105	1
"S_enterica_LT2_RAND_327"	-11.9	64	0	-17	1	169	1
"S_enterica_LT2_RAND_332"	-22.8	-39	1000	0	1	0	0
"S_enterica_LT2_RAND_356"	-138.12	2	0	0	0	0	1
"S_enterica_LT2_RAND_363"	-138.77	-29	0	0	1	0	1
"S_enterica_LT2_RAND_393"	-15.6	29	17	0	0	67	0
"S_enterica_LT2_RAND_394"	-27.9	-42	103	0	1	0	1
"S_enterica_LT2_RAND_400"	-54	-16	0	0	1	0	0
"S_enterica_LT2_RAND_404"	-18.5	17	1000	0	0	0	0
"S_enterica_LT2_RAND_413"	-35.4	-37	1000	0	1	0	1
"S_enterica_LT2_RAND_421"	-270.36	376	1000	0	1	0	0
"S_enterica_LT2_RAND_425"	-51.87	85	1000	0	0	0	0
"S_enterica_LT2_RAND_439"	-58.7	113	1000	0	1	0	1
"S_enterica_LT2_RAND_461"	-44.3	43	1000	0	0	0	0
"S_enterica_LT2_RAND_467"	-27.3	-45	1000	0	0	0	0
"S_enterica_LT2_RAND_468"	-20.9	-79	1000	0	0	0	0
"S_enterica_LT2_RAND_489"	-28.2	72	1000	0	1	60	1
"S_enterica_LT2_RAND_491"	-37.1	62	1000	0	1	10	1
"S_enterica_LT2_RAND_497"	-29.9	-1000	1000	0	1	0	1
"S_enterica_LT2_RAND_520"	-86.8	252	1000	0	0	0	0
"S_enterica_LT2_RAND_541"	-20.9	-1	1000	0	1	0	1
"S_enterica_LT2_RAND_558"	-121	20	1000	0	0	0	0
"S_enterica_LT2_RAND_561"	0	24	1000	0	0	94	1
"S_enterica_LT2_RAND_571"	-6.1	-41	1000	-74	1	0	0
"S_enterica_LT2_RAND_587"	1.4	40	1000	-114	0	0	0
"S_enterica_LT2_RAND_593"	-73.77	79	1000	0	1	0	1
"S_enterica_LT2_RAND_611"	6.7	-27	1000	0	0	0	0
"S_enterica_LT2_RAND_616"	-73	136	901	0	0	0	0
"S_enterica_LT2_RAND_621"	-65.6	176	238	0	0	0	0
"S_enterica_LT2_RAND_626"	-73.12	62	1000	-131	0	0	0
"S_enterica_LT2_RAND_637"	-6.4	25	967	-128	0	0	0
"S_enterica_LT2_RAND_652"	-35.4	-81	1000	0	1	0	1
"S_enterica_LT2_RAND_661"	-47.4	-46	1000	0	1	0	1
"S_enterica_LT2_RAND_662"	-74.5	83	777	0	1	0	1
"S_enterica_LT2_RAND_674"	-38.8	28	1000	0	1	0	1
"S_enterica_LT2_RAND_677"	-9.8	20	1000	0	0	0	0
"S_enterica_LT2_RAND_713"	-36.59	199	1000	0	1	0	1
"S_enterica_LT2_RAND_725"	-75.9	113	543	0	1	0	1
"S_enterica_LT2_RAND_740"	-16.6	-22	1000	0	0	0	0
"S_enterica_LT2_RAND_763"	-8.1	-75	1000	0	1	165	0
"S_enterica_LT2_RAND_787"	-21.09	-102	1000	-3966	1	2191	1
"S_enterica_LT2_RAND_795"	-42.2	150	1000	-5551	0	509	0
"S_enterica_LT2_RAND_807"	-18.9	18	1000	0	0	0	0
"S_enterica_LT2_RAND_810"	-28.6	-13	1000	0	1	0	1
"S_enterica_LT2_RAND_814"	-10.1	-28	1000	0	1	0	1
"S_enterica_LT2_RAND_815"	-11.9	25	888	0	1	0	1
"S_enterica_LT2_RAND_939"	-36.7	-1000	1000	0	1	0	1
"S_enterica_LT2_RAND_952"	-90.1	49	1000	0	1	0	1
"S_enterica_LT2_RAND_966"	-109.12	441	648	0	1	0	1
"S_enterica_LT2_RAND_975"	-29.7	115	0	-58	1	328	1
"S_enterica_LT2_RAND_981"	-7.6	-1000	978	-183	0	533	0
"S_enterica_LT2_RAND_983"	1	101	1000	-722	1	0	1
"S_enterica_LT2_RAND_1009"	-49.54	103	559	0	1	0	1
"S_enterica_LT2_RAND_1023"	-45	-28	566	0	0	0	0
"S_enterica_LT2_RAND_1045"	-28.2	106	1000	0	0	106	1
"S_enterica_LT2_RAND_1046"	-30.5	-42	1000	-88	0	0	1
"S_enterica_LT2_RAND_1064"	-25.4	43	1000	0	1	0	1
"S_enterica_LT2_RAND_1066"	-16.2	-60	1000	0	0	0	0
"S_enterica_LT2_RAND_1067"	-19	-33	1000	0	1	0	1
"S_enterica_LT2_RAND_1069"	-23.7	-16	1000	-392	1	840	1
"S_enterica_LT2_RAND_1077"	-48.4	40	1000	0	0	0	0
"S_enterica_LT2_RAND_1089"	-27.8	-31	1000	0	1	0	1
"S_enterica_LT2_RAND_1103"	-12.9	-76	1000	0	1	0	1
"S_enterica_LT2_RAND_1124"	-14	33	1000	0	1	0	1
"S_enterica_LT2_RAND_1152"	-44.5	56	1000	0	0	0	0
"S_enterica_LT2_RAND_1161"	-292.3	1029	1000	0	1	0	1
"S_enterica_LT2_RAND_1164"	-29.3	-22	1000	0	0	0	0
"S_enterica_LT2_RAND_1166"	-36.2	68	885	0	0	0	0
"S_enterica_LT2_RAND_1169"	-14.88	-23	354	0	0	0	0
"S_enterica_LT2_RAND_1188"	-41.3	82	1000	-21	1	210	1
"S_enterica_LT2_RAND_1201"	-13.4	-91	523	0	0	0	0
"S_enterica_LT2_RAND_1203"	-5.7	-1000	129	0	1	0	1
"S_enterica_LT2_RAND_1206"	-48.6	-37	1000	0	0	0	0
"S_enterica_LT2_RAND_1214"	-39.3	-7	1000	0	0	0	0
"S_enterica_LT2_RAND_1219"	-40.3	33	168	0	0	0	0
"S_enterica_LT2_RAND_1224"	-18.2	-1000	1000	0	0	0	0
"S_enterica_LT2_RAND_1258"	-36.4	-97	1000	0	1	0	1
"S_enterica_LT2_RAND_1287"	-29.5	-56	1000	0	0	0	0
"S_enterica_LT2_RAND_1292"	-6.3	13	723	0	0	0	0
"S_enterica_LT2_RAND_1294"	-78.9	78	79	-53	0	0	1
"S_enterica_LT2_RAND_1295"	-40.44	13	51	-118	0	0	1
"S_enterica_LT2_RAND_1307"	-51.1	124	1000	-222	1	0	0
"S_enterica_LT2_RAND_1308"	-129.48	-26	1000	0	1	0	1
"S_enterica_LT2_RAND_1317"	-19.7	-37	1000	0	1	0	1
"S_enterica_LT2_RAND_1318"	-32.5	-46	1000	0	1	0	1
"S_enterica_LT2_RAND_1323"	-11.4	-37	1000	0	1	0	1
"S_enterica_LT2_RAND_1329"	-32.4	-77	129	0	1	0	1
"S_enterica_LT2_RAND_1330"	-32.8	-27	1000	0	0	0	0
"S_enterica_LT2_RAND_1334"	-25.1	54	754	0	1	0	1
"S_enterica_LT2_RAND_1356"	4.4	-56	1000	0	0	0	0
"S_enterica_LT2_RAND_1370"	-44.3	46	714	0	1	0	0
"S_enterica_LT2_RAND_1386"	-57.8	-61	0	0	1	231	1
"S_enterica_LT2_RAND_1387"	-9.4	26	329	-184	1	2	1
"S_enterica_LT2_RAND_1389"	-37.2	33	0	-55	1	121	1
"S_enterica_LT2_RAND_1397"	-16.6	67	1000	0	1	0	1
"S_enterica_LT2_RAND_1408"	-27.1	-102	1000	0	1	233	1
"S_enterica_LT2_RAND_1420"	-10	10	1000	0	0	0	0
"S_enterica_LT2_RAND_1433"	-12.8	-41	1000	-19	1	49	1
"S_enterica_LT2_RAND_1442"	-129.6	273	1000	0	1	0	1
"S_enterica_LT2_RAND_1446"	-40.6	45	1000	0	0	0	0
"S_enterica_LT2_RAND_1451"	-194.2	403	1000	0	0	0	0
"S_enterica_LT2_RAND_1476"	-42.2	-62	1000	0	1	0	1
"S_enterica_LT2_RAND_1493"	-3.3	11	1000	0	0	0	0
"S_enterica_LT2_RAND_1494"	-34.8	-91	1000	0	1	0	1
"S_enterica_LT2_RAND_1519"	-14.1	57	479	-88	1	0	1
"S_enterica_LT2_RAND_1521"	-86.7	318	0	0	1	0	0
"S_enterica_LT2_RAND_1549"	-22.8	-82	301	0	1	0	1
"S_enterica_LT2_RAND_1553"	-13.6	-36	1000	0	0	0	0
"S_enterica_LT2_RAND_1556"	-16.4	-97	1000	0	0	0	0
"S_enterica_LT2_RAND_1571"	-96.47	-64	1000	0	1	0	1
"S_enterica_LT2_RAND_1579"	-40.5	12	1000	0	1	0	1
"S_enterica_LT2_RAND_1592"	-19.1	-36	1000	0	1	0	1
"S_enterica_LT2_RAND_1599"	-8.4	-52	1000	-95	1	0	0
"S_enterica_LT2_RAND_1601"	-13.6	-39	1000	-128	1	42	1
"S_enterica_LT2_RAND_1602"	-21.07	285	1000	0	1	0	1
"S_enterica_LT2_RAND_1603"	-24.2	78	1000	0	0	0	0
"S_enterica_LT2_RAND_1604"	-200.44	753	1000	0	0	0	0
"S_enterica_LT2_RAND_1605"	-142.24	359	1000	0	0	0	0
"S_enterica_LT2_RAND_1606"	-34.3	-28	1000	0	0	0	0
"S_enterica_LT2_RAND_1607"	-13.2	-5	61	-118	0	37	0
"S_enterica_LT2_RAND_1608"	-28.7	-95	1000	0	0	0	0
"S_enterica_LT2_RAND_1609"	-3.3	-70	923	0	1	0	1
"S_enterica_LT2_RAND_1610"	-6.6	-2	1000	0	0	0	0
"S_enterica_LT2_RAND_1611"	-44.6	-104	1000	0	0	0	0
"S_enterica_LT2_RAND_1612"	-61.1	-54	1000	0	0	0	0
"S_enterica_LT2_RAND_1613"	-28.1	-1000	1000	0	0	0	0
"S_enterica_LT2_RAND_1614"	-21.5	66	1000	0	1	80	1
"S_enterica_LT2_RAND_1615"	-21.1	-43	1000	0	0	0	0
"S_enterica_LT2_RAND_1617"	-71.4	33	1000	0	1	0	1
"S_enterica_LT2_RAND_1618"	-27.34	76	140	0	1	0	1
"S_enterica_LT2_RAND_1620"	-19.7	-92	1000	0	0	0	0
"S_enterica_LT2_RAND_1621"	-21.3	17	1000	0	0	43	1
"S_enterica_LT2_RAND_1622"	-40.1	-54	1000	0	0	0	0
"S_enterica_LT2_RAND_1623"	-45.52	26	1000	0	0	0	0
"S_enterica_LT2_RAND_1624"	-27.3	-91	1000	0	0	0	0
"S_enterica_LT2_RAND_1625"	-35.4	7	1000	0	0	0	0
"S_enterica_LT2_RAND_1626"	-20.5	-19	1000	0	1	0	1
"S_enterica_LT2_RAND_1627"	-22.1	-51	1000	0	0	0	0
"S_enterica_LT2_RAND_1628"	-78.2	43	1000	0	1	0	1
"S_enterica_LT2_RAND_1629"	-41.5	-101	1000	0	1	0	1
"S_enterica_LT2_RAND_1630"	-4.2	-56	1000	0	0	0	0
"S_enterica_LT2_RAND_1631"	-24.1	-103	1000	0	1	0	1
"S_enterica_LT2_RAND_1632"	-46.2	34	275	0	0	0	0
"S_enterica_LT2_RAND_1633"	-10.4	17	1000	0	0	0	0
"S_enterica_LT2_RAND_1634"	-35.4	110	1000	0	0	0	0
"S_enterica_LT2_RAND_1635"	-4.9	-92	1000	0	0	0	0
"S_enterica_LT2_RAND_1636"	-264.7	656	0	0	1	0	1
"S_enterica_LT2_RAND_1637"	-28.27	-78	1000	0	0	0	0
"S_enterica_LT2_RAND_1638"	-23.1	-1000	1000	0	1	0	1
"S_enterica_LT2_RAND_1639"	-36.9	32	1000	0	1	0	1
"S_enterica_LT2_RAND_1640"	-65.1	-1000	1000	0	0	0	0
"S_enterica_LT2_RAND_1641"	-44.4	-11	1000	0	0	0	0
"S_enterica_LT2_RAND_1642"	-55.1	191	1000	0	0	0	0
"S_enterica_LT2_RAND_1644"	-58.56	119	1000	-85	0	0	0
"S_enterica_LT2_RAND_1645"	-52.8	151	1000	-874	0	0	0
"S_enterica_LT2_RAND_1646"	-4.9	-66	1000	0	1	837	1
"S_enterica_LT2_RAND_1647"	-38	142	1000	0	0	0	0
"S_enterica_LT2_RAND_1648"	-55.5	-81	810	0	1	0	1
"S_enterica_LT2_RAND_1649"	-51.8	-77	1000	0	1	0	1
"S_enterica_LT2_RAND_1650"	-8.6	27	1000	0	1	0	1
"S_enterica_LT2_RAND_1651"	-86.2	381	63	0	1	0	1
"S_enterica_LT2_RAND_1652"	-15.4	4	93	0	1	0	1
"S_enterica_LT2_RAND_1653"	-8.4	-79	1000	0	1	0	1
"S_enterica_LT2_RAND_1654"	-0.7	25	1000	0	0	0	0
"S_enterica_LT2_RAND_1655"	-82.79	0	1000	0	1	121	1
"S_enterica_LT2_RAND_1656"	-10.4	-74	1000	0	0	0	0
"S_enterica_LT2_RAND_1657"	-20	-35	1000	0	0	0	0
"S_enterica_LT2_RAND_1658"	-18.3	-87	1000	0	0	0	0
"S_enterica_LT2_RAND_1659"	-49.9	-1000	1000	0	1	0	1
"S_enterica_LT2_RAND_1660"	-69.2	-94	1000	0	1	0	1
"S_enterica_LT2_RAND_1661"	-13	3	1000	0	1	0	1
"S_enterica_LT2_RAND_1662"	-90.3	111	1000	0	0	0	0
"S_enterica_LT2_RAND_1663"	-68.3	47	1000	0	1	0	1
"S_enterica_LT2_RAND_1664"	-21.6	-29	1000	0	1	0	1
"S_enterica_LT2_RAND_1666"	-32.2	-59	1000	0	0	0	0
"S_enterica_LT2_RAND_1667"	-3.42	40	1000	0	1	0	1
"S_enterica_LT2_RAND_1668"	-99.9	97	474	0	1	0	1
"S_enterica_LT2_RAND_1669"	-45.6	216	1000	0	1	0	1
"S_enterica_LT2_RAND_1670"	-236.6	364	658	0	1	0	1
"S_enterica_LT2_RAND_1671"	-115.8	-7	0	0	0	0	1
"S_enterica_LT2_RAND_1672"	-30.1	-62	785	0	1	0	1
"S_enterica_LT2_RAND_1673"	-65.05	169	1000	0	0	0	0
"S_enterica_LT2_RAND_1674"	-79.52	43	1000	0	0	0	0
"S_enterica_LT2_RAND_1675"	-49.2	-89	1000	0	0	0	0
"S_enterica_LT2_RAND_1676"	-44.4	-47	1000	0	1	0	1
"S_enterica_LT2_RAND_1677"	-7.9	-1000	1000	0	1	0	1
"S_enterica_LT2_RAND_1678"	-9	-64	1000	0	1	0	1
"S_enterica_LT2_RAND_1679"	-241.31	665	1000	0	1	0	0
"S_enterica_LT2_RAND_1680"	-31.4	98	1000	0	0	0	0
"S_enterica_LT2_RAND_1682"	-17.9	-1000	1000	0	1	0	1
"S_enterica_LT2_RAND_1683"	-69.4	-89	1000	0	1	0	1
"S_enterica_LT2_RAND_1684"	-12.1	-78	1000	0	1	0	1
"S_enterica_LT2_RAND_1685"	-31.6	-82	1000	0	0	0	0
"S_enterica_LT2_RAND_1686"	-44.4	45	1000	0	1	0	1
"S_enterica_LT2_RAND_1687"	-7.3	4	1000	0	0	0	0
"S_enterica_LT2_RAND_1688"	-12.7	-93	1000	0	1	0	1
"S_enterica_LT2_RAND_1690"	-50.8	262	915	0	1	0	1
"S_enterica_LT2_RAND_1691"	-7.3	-3	1000	0	0	0	0
"S_enterica_LT2_RAND_1692"	-17	158	1000	0	0	0	0
"S_enterica_LT2_RAND_1693"	-25.2	-35	1000	0	0	0	0
"S_enterica_LT2_RAND_1694"	-47.6	176	515	0	0	0	0
"S_enterica_LT2_RAND_1695"	-8.7	-19	1000	0	1	0	1
"S_enterica_LT2_RAND_1697"	-43.61	75	464	0	1	0	1
"S_enterica_LT2_RAND_1698"	-90.1	-86	1000	0	1	0	1
"S_enterica_LT2_RAND_1699"	-5.2	-95	1000	0	0	413	0
"S_enterica_LT2_RAND_1700"	-21.7	-14	0	0	0	0	0
"S_enterica_LT2_RAND_1701"	-103	297	1000	0	0	0	0
"S_enterica_LT2_RAND_1704"	-26.2	-3	1000	0	0	0	0
"S_enterica_LT2_RAND_1705"	-47.8	-1000	79	0	1	0	1
"S_enterica_LT2_RAND_1706"	-29.3	-1000	72	0	1	0	1
"S_enterica_LT2_RAND_1707"	-48.9	-22	0	0	0	0	0
"S_enterica_LT2_RAND_1708"	-28	-1000	1000	0	0	0	0
"S_enterica_LT2_RAND_1709"	-62.5	-44	1000	0	0	0	0
"S_enterica_LT2_RAND_1710"	-14.7	57	1000	0	1	0	1
"S_enterica_LT2_RAND_1711"	-36.8	-15	1000	0	0	0	0
"S_enterica_LT2_RAND_1712"	-54.4	259	1000	0	1	0	1
"S_enterica_LT2_RAND_1713"	-91.2	138	1000	0	0	0	0
"S_enterica_LT2_RAND_1714"	-37	-1000	1000	0	0	0	0
"S_enterica_LT2_RAND_1716"	-22	-1000	1000	0	0	0	0
"S_enterica_LT2_RAND_1717"	-14.8	26	1000	0	0	0	0
"S_enterica_LT2_RAND_1718"	-51.3	111	1000	0	1	0	1
"S_enterica_LT2_RAND_1719"	-57.4	186	1000	0	1	94	1
"S_enterica_LT2_RAND_1720"	-16.2	-79	1000	0	1	0	1
"S_enterica_LT2_RAND_1721"	-35.9	94	1000	-77	1	19	1
"S_enterica_LT2_RAND_1722"	-16.4	-79	1000	0	1	0	1
"S_enterica_LT2_RAND_1723"	-2.7	6	1000	0	0	0	0
"S_enterica_LT2_RAND_1724"	-28.7	-1000	1000	0	1	0	1
"S_enterica_LT2_RAND_1725"	-4.6	16	1000	0	1	0	1
"S_enterica_LT2_RAND_1726"	-109.1	280	1000	0	1	0	1
"S_enterica_LT2_RAND_1728"	-84.1	153	1000	0	1	0	1
"S_enterica_LT2_RAND_1729"	-22	-48	1000	0	0	0	0
"S_enterica_LT2_RAND_1730"	-44.8	125	140	-186	0	0	0
"S_enterica_LT2_RAND_1731"	-68.2	144	1000	0	1	0	1
"S_enterica_LT2_RAND_1732"	-52.3	88	1000	0	1	0	1
"S_enterica_LT2_RAND_1733"	-9.5	-78	1000	0	0	0	0
"S_enterica_LT2_RAND_1734"	-34	-1000	1000	0	0	0	0
"S_enterica_LT2_RAND_1735"	-76.1	-38	612	0	1	0	1
"S_enterica_LT2_RAND_1736"	-89.7	131	486	0	0	0	0
"S_enterica_LT2_RAND_1737"	-3.8	-73	1000	0	1	0	1
"S_enterica_LT2_RAND_1738"	-131.1	105	1000	0	1	0	1
"S_enterica_LT2_RAND_1739"	-6.3	-57	1000	0	1	0	1
"S_enterica_LT2_RAND_1740"	-14.3	-59	383	0	0	0	0
"S_enterica_LT2_RAND_1742"	-2.7	44	1000	0	0	0	0
"S_enterica_LT2_RAND_1743"	-37.05	-74	0	-77	0	0	0
"S_enterica_LT2_RAND_1744"	-63	-1000	1000	0	0	0	0
"S_enterica_LT2_RAND_1746"	-115.3	172	1000	0	1	0	1
"S_enterica_LT2_RAND_1747"	-22.2	-87	1000	0	0	0	0
"S_enterica_LT2_RAND_1748"	-17.5	-1000	1000	0	0	0	0
"S_enterica_LT2_RAND_1749"	-64.5	-82	1000	0	0	33	0
"S_enterica_LT2_RAND_1750"	-49.3	-95	1000	0	1	0	1
"S_enterica_LT2_RAND_1751"	-11.4	-81	1000	0	0	0	0
"S_enterica_LT2_RAND_1752"	-9.5	-88	1000	-1146	0	653	0
"S_enterica_LT2_RAND_1753"	-55.7	-85	1000	0	1	0	1
"S_enterica_LT2_RAND_1754"	-68.1	113	1000	0	0	0	1
"S_enterica_LT2_RAND_1755"	-85.8	119	1000	0	1	0	1
"S_enterica_LT2_RAND_1756"	-19.5	51	1000	0	0	0	0
"S_enterica_LT2_RAND_1757"	-3.9	-29	733	0	0	0	0
"S_enterica_LT2_RAND_1758"	-26.4	-5	1000	-22	0	169	1
"S_enterica_LT2_RAND_1759"	-123.61	13	1000	0	1	0	1
"S_enterica_LT2_RAND_1760"	-18.8	-41	1000	0	0	0	0
"S_enterica_LT2_RAND_1761"	-22.2	-54	1000	0	0	0	0
"S_enterica_LT2_RAND_1762"	-20.8	11	1000	0	1	0	1
"S_enterica_LT2_RAND_1763"	-116.8	87	9	0	1	0	1
"S_enterica_LT2_RAND_1764"	-10.3	1	1000	0	0	0	0
"S_enterica_LT2_RAND_1765"	-0.3	-42	1000	-77	1	16	0
"S_enterica_LT2_RAND_1766"	-17.3	51	1000	0	0	0	0
"S_enterica_LT2_RAND_1767"	-53.8	33	1000	0	1	0	0
"S_enterica_LT2_RAND_1768"	-74.3	248	0	0	1	8	0
"S_enterica_LT2_RAND_1772"	-20.7	44	1000	-169	1	0	1
"S_enterica_LT2_RAND_1773"	-68.7	79	1000	0	0	0	0
"S_enterica_LT2_RAND_1774"	-12.9	23	1000	0	1	0	1
"S_enterica_LT2_RAND_1775"	-38.2	-93	1000	0	0	0	0
"S_enterica_LT2_RAND_1776"	-6.4	-1000	1000	0	0	0	0
"S_enterica_LT2_RAND_1777"	-12.6	36	1000	0	1	0	1
"S_enterica_LT2_RAND_1778"	-11.4	-85	1000	-74	1	149	1
"S_enterica_LT2_RAND_1779"	0.22	13	1000	-9	0	287	0
"S_enterica_LT2_RAND_1780"	-32.5	72	1000	-304	1	0	1
"S_enterica_LT2_RAND_1781"	-25.2	-27	1000	0	1	0	1
"S_enterica_LT2_RAND_1782"	-17.3	26	1000	0	0	0	0
"S_enterica_LT2_RAND_1783"	-24.1	106	1000	0	1	0	1
"S_enterica_LT2_RAND_1785"	-59.6	244	1000	0	0	0	0
"S_enterica_LT2_RAND_1786"	-38.4	101	1000	0	0	0	0
"S_enterica_LT2_RAND_1788"	-14.3	-2	120	0	0	0	0
"S_enterica_LT2_RAND_1789"	-25.2	-33	1000	0	1	0	1
"S_enterica_LT2_RAND_1790"	-60.1	15	1000	0	1	0	1
"S_enterica_LT2_RAND_1791"	-70.7	110	1000	0	1	0	1
"S_enterica_LT2_RAND_1792"	-3.5	43	1000	-258	0	23	0
"S_enterica_LT2_RAND_1793"	-47.4	25	943	0	0	1071	0
"S_enterica_LT2_RAND_1795"	-24.4	-79	1000	0	1	0	1
"S_enterica_LT2_RAND_1796"	-10.3	-2	1000	0	0	0	0
"S_enterica_LT2_RAND_1797"	-206.1	434	0	0	0	0	1
"S_enterica_LT2_RAND_1798"	-59.5	130	1000	0	1	0	1
"S_enterica_LT2_RAND_1799"	-28.2	-1000	1000	0	1	0	1
"S_enterica_LT2_RAND_1800"	-22.7	-86	102	0	1	0	1
"S_enterica_LT2_RAND_1801"	-6.7	-76	987	0	0	0	0
"S_enterica_LT2_RAND_1802"	-85.4	160	1000	0	1	0	1
"S_enterica_LT2_RAND_1803"	-12.4	21	1000	0	0	0	0
"S_enterica_LT2_RAND_1"	-3.8	3	1000	-933	0	31	1
"S_enterica_LT2_RAND_2"	-43.5	150	1000	0	1	0	1
"S_enterica_LT2_RAND_3"	-30.4	-73	1000	0	1	0	1
"S_enterica_LT2_RAND_4"	-37.2	-2	1000	0	0	0	0
"S_enterica_LT2_RAND_5"	-12	-17	1000	0	0	0	0
"S_enterica_LT2_RAND_6"	-32.1	32	1000	0	0	0	0
"S_enterica_LT2_RAND_7"	-175.6	427	803	0	1	0	1
"S_enterica_LT2_RAND_8"	-51.28	245	1000	-2	0	21	1
"S_enterica_LT2_RAND_9"	-40.9	-51	461	-1134	1	730	0
"S_enterica_LT2_RAND_10"	-69.7	48	1000	0	1	0	1
"S_enterica_LT2_RAND_11"	-19.2	117	1000	0	0	0	0
"S_enterica_LT2_RAND_12"	-42.9	81	255	0	1	0	1
"S_enterica_LT2_RAND_13"	-51.5	-7	1000	0	1	0	1
"S_enterica_LT2_RAND_14"	-64.7	227	1000	0	1	0	1
"S_enterica_LT2_RAND_15"	-29.6	27	1000	0	1	0	1
"S_enterica_LT2_RAND_16"	-1.9	-35	1000	0	1	0	1
"S_enterica_LT2_RAND_17"	-74.7	63	0	-214	0	0	1
